"title","lat","lon","school"
"Sentinel Elementary District, AZ",32.85971,-113.210951,0
"Show Low Unified District, AZ",34.260486,-110.048862,0
"Deer Valley Unified District, AZ",33.67039,-112.091591,0
"Skull Valley Elementary District, AZ",34.5022,-112.6862,0
"Snowflake Unified District, AZ",34.500021,-110.085006,0
"Solomon Elementary District, AZ",32.813596,-109.633035,0
"Somerton Elementary District, AZ",32.59906,-114.71414,0
"Sonoita Elementary District, AZ",31.65797,-110.601601,0
"St. David Unified District, AZ",31.9053,-110.2233,0
"St. Johns Unified District, AZ",34.513002,-109.384168,0
"Stanfield Elementary District, AZ",32.876,-111.9624,0
"Sunnyside Unified District, AZ",32.1374,-110.937821,0
"Superior Unified School District, AZ",33.277784,-111.109758,0
"Tanque Verde Unified District, AZ",32.24982,-110.755421,0
"Tempe School District, AZ",33.394104,-111.926298,0
"Thatcher Unified District, AZ",32.849178,-109.758723,0
"Paloma School District, AZ",32.92018,-112.890821,0
"Hillside Elementary District, AZ",34.570852,-113.176971,0
"Tolleson Elementary District, AZ",33.455476,-112.260923,0
"Toltec Elementary District, AZ",32.783854,-111.619859,0
"Tombstone Unified District, AZ",31.712051,-110.062167,0
"Topock Elementary District, AZ",34.772306,-114.480588,0
"Tuba City Unified District, AZ",36.138252,-111.237714,0
"Tucson Unified District, AZ",32.2225,-110.9558,0
"Union Elementary District, AZ",33.411016,-112.256512,0
"Vail Unified District, AZ",32.0136,-110.6986,0
"Valentine Elementary District, AZ",35.4875,-113.5686,0
"Walnut Grove Elementary District, AZ",34.2849,-112.5494,0
"Washington Elementary District, AZ",33.603561,-112.158848,0
"Wellton Elementary District, AZ",32.672318,-114.141439,0
"Wenden Elementary District, AZ",33.824476,-113.540768,0
"Whiteriver Unified District, AZ",33.822048,-109.980137,0
"Wickenburg Unified District, AZ",33.9693,-112.7337,0
"Willcox Unified District, AZ",32.259223,-109.841407,0
"Williams Unified District, AZ",35.24441,-112.193071,0
"Williamson Valley Elementary School District, AZ",34.6477,-112.5014,0
"Wilson Elementary District, AZ",33.454913,-112.016158,0
"Window Rock Unified District, AZ",35.6834,-109.0586,0
"Winslow Unified District, AZ",35.02813,-110.692669,0
"Yarnell Elementary District, AZ",34.2233,-112.7448,0
"Young Elementary School District, AZ",34.1009,-110.9541,0
"Yucca Elementary District, AZ",34.87337,-114.149251,0
"Yuma Elementary District, AZ",32.716325,-114.625499,0
"Sedona-Oak Creek Joint Unified District, AZ",34.862702,-111.766417,0
"DeWitt School District, AR",34.2943,-91.3395,0
"Warren School District, AR",33.6183,-92.0685,0
