"id","area","size","alg8"
"0407860","Solomon Elementary District",15,0.883
"0407890","Somerton Elementary District",305,0.228
"0407920","Sonoita Elementary District",15,1
"0408020","St David Unified District",34,0.204
"0408080","St Johns Unified District",78,0.613
"0408130","Stanfield Elementary District",58,0
"0408230","Superior Unified School District",25,0.225
"0408410","Thatcher Unified District",134,0.154
"0408430","Paloma School District",9,0
"0408460","Hillside Elementary District",1,0
"0408490","Tolleson Elementary District",313,0.099
"0408550","Toltec School District",110,0
"0408600","Tombstone Unified District",70,0
"0408680","Tuba City Unified School District #15",108,0
"0408850","Vail Unified District",929,0.204
"0408880","Valentine Elementary District",4,0
"0409090","Wellton Elementary District",25,0
"0409120","Wenden Elementary District",9,1
"0409160","Whiteriver Unified District",115,0.206
"0409190","Wickenburg Unified District",87,0.208
"0409250","Willcox Unified District",84,0
"0409390","Wilson Elementary District",113,0.331
"0409430","Window Rock Unified District",149,0.48
"0409510","Yarnell Elementary District",5,0
"0500001","DEWITT SCHOOL DISTRICT",111,0
"0500006","WARREN SCHOOL DISTRICT",122,0
"0500009","CORNING SCHOOL DISTRICT",64,0.368
"0500012","RIVERSIDE SCHOOL DISTRICT",57,0.387
"0500015","SHERIDAN SCHOOL DISTRICT",347,0.138
"0500016","MARMADUKE SCHOOL DISTRICT",60,0.301
"0500017","PARAGOULD SCHOOL DISTRICT",228,0
"0500019","BATESVILLE SCHOOL DISTRICT",227,0.134
"0500020","MIDLAND SCHOOL DISTRICT",51,0
"0500021","IZARD CO. CONS. SCHOOL DIST.",35,0
"0500023","NEWPORT SCHOOL DISTRICT",89,0.168
"0500028","STAR CITY SCHOOL DISTRICT",131,0
"0500029","GOSNELL SCHOOL DISTRICT",96,0.798
"0500030","NEVADA SCHOOL DISTRICT",34,0
"0500032","BEARDEN SCHOOL DISTRICT",38,0
"0500035","ARK. SCHOOL FOR THE BLIND",6,0
"0500036","ARK. SCHOOL FOR THE DEAF",4,0
"0500041","WESTERN YELL CO. SCHOOL DIST.",22,0
"0500042","HAMBURG SCHOOL DISTRICT",171,0
"0500043","MOUNTAIN HOME SCHOOL DISTRICT",316,0.188
"0500044","MAGNOLIA SCHOOL DISTRICT",214,0.28
"0500045","RIVERCREST SCHOOL DISTRICT #57",113,0.143
"0500046","MANILA SCHOOL DISTRICT",85,0.471
"0500047","TRUMANN SCHOOL DISTRICT",136,0
"0500048","EAST POINSETT CO. SCHOOL DIST.",55,0
"0500049","DEQUEEN SCHOOL DISTRICT",196,0.236
"0500051","PALESTINE-WHEATLEY SCH. DIST.",70,0
"0511970","ARKANSAS ARTS ACADEMY",1285,0.213
"0511850","ACADEMICS PLUS CHARTER SCHOOL",1457,0.246
