lat,lon,title,school
41.2014,-96.1426,"Millard Public Schools, NE",0
34.052353,-117.749922,"Pomona Unified School District, CA",0
34.749,-77.4509,"Onslow County Schools, NC",0
34.5935,-118.1121,"Palmdale Elementary School District, CA",0
34.7493,-92.2792,"Little Rock School District, AR",0
35.33329,-97.465981,"Moore Public Schools, OK",0
33.03023,-97.319461,"Northwest Independent School District, TX",0
33.3944,-84.8002,"Coweta County School District, GA",0
33.5303,-117.1852,"Murrieta Valley Unified School District, CA",0
38.8566,-94.6679,"Blue Valley Unified School District, KS",0
38.509652,-90.62507100000001,"Rockwood R-VI School District, MO",0
47.670916,-122.12347,"Lake Washington School District, WA",0
40.44468,-79.950661,"Pittsburgh School District, PA",0
41.8177,-71.4213,"Providence School District, RI",0
37.2095,-93.27200000000001,"Springfield R-XII School District, MO",0
33.823209,-116.537248,"Palm Springs Unified School District, CA",0
33.1181,-117.1147,"Escondido Union Elementary School District, CA",0
31.3117,-92.44880000000001,"Rapides Parish School District, LA",0
27.5072,-99.5125,"Laredo Independent School District, TX",0
43.07038,-89.395011,"Madison Metropolitan School District, WI",0
32.805938,-97.25457,"Birdville Independent School District, TX",0
32.8365,-83.62600000000001,"Bibb County School District, GA",0
38.33968,-81.616928,"Kanawha County School District, WV",0
29.5726,-95.28749999999999,"Pearland Independent School District, TX",0
35.667505,-97.497585,"Edmond Public Schools, OK",0
29.802512,-94.989537,"Goose Creek Consolidated Independent School District, TX",0
39.9848,-85.9943,"Hamilton Southeastern Schools, IN",0
31.9963,-102.0814,"Midland Independent School District, TX",0
32.6958,-93.7402,"Bossier Parish School District, LA",0
29.7907,-95.15989999999999,"Galena Park Independent School District, TX",0
29.55334,-98.33001,"Judson Independent School District, TX",0
39.59767,-77.764411,"Washington County Public Schools, MD",0
33.502,-81.7111,"Aiken County School District, SC",0
34.623642,-79.05314900000001,"Robeson County Schools, NC",0
37.6568,-122.0934,"Hayward Unified School District, CA",0
33.68274,-117.335929,"Lake Elsinore Unified School District, CA",0
39.0701,-108.5397,"Mesa County Valley School District, CO",0
39.8837,-83.04689999999999,"South-Western City School District, OH",0
34.2122,-119.1785,"Oxnard Elementary School District, CA",0
33.6784,-117.8931,"Newport-Mesa Unified School District, CA",0
47.19016,-122.293111,"Puyallup School District, WA",0
33.1423,-117.1657,"San Marcos Unified School District, CA",0
45.1236,-93.4238,"Osseo Public School District, MN",0
