id,name,G08,lat,lon,HI08,AM08,AS08,HP08,BL08,WH08,TR08,leaidC_SEDA,WH_tot,WB_dissim,WH_dissim,WB_exp,WH_exp,G08_alg_p,G08_access_p,HI08_alg_p,BL08_alg_p,WH08_alg_p,WB_diff,WH_diff,WB_n,WH_n,WB_access,WH_access
170993000641,Caldwell Elem Acad of Math & Sci,24,41.739256,-87.581104,0,0,0,0,24,0,0,1709930,0,,,,,0,0,,0,,,,0,0,0,0
170993000643,De Diego Elem Community Academy,74,41.905213,-87.685684,52,2,2,0,18,0,0,1709930,0,,,,,0,0,0,0,,,,0,0,0,0
170993000646,Cameron Elem School,83,41.903989,-87.71784700000001,52,0,0,0,29,2,0,1709930,2,0,0,.024096385,.024096385,.38554215,1,.48076922,.24137931,0,-.24137931,-.48076922,2,2,0,0
170993000647,Canty Elem School,72,41.947896,-87.829764,32,0,2,0,1,35,2,1709930,35,0,0,.4861111,.4861111,.33333334,1,.125,0,.45714286,.45714286,.33214286,1,32,0,0
170993000648,Carnegie Elem School,42,41.783027,-87.59103500000001,0,0,0,0,42,0,0,1709930,0,,,,,1,1,,1,,,,0,0,0,0
170993000650,Curtis Elem School,57,41.685518,-87.621798,3,0,0,1,53,0,0,1709930,0,,,,,0,0,0,0,,,,0,0,0,0
170993000651,Mays Elem Academy,43,41.773106,-87.636882,1,0,0,0,42,0,0,1709930,0,,,,,0,0,0,0,,,,0,0,0,0
170993000652,Carroll Elem School,53,41.741961,-87.696815,3,0,0,0,50,0,0,1709930,0,,,,,0,0,0,0,,,,0,0,0,0
170993000653,Carter Elem School,25,41.78963,-87.62328100000001,0,0,0,0,25,0,0,1709930,0,,,,,0,0,,0,,,,0,0,0,0
170993000655,Cassell Elem School,35,41.687465,-87.703734,4,1,0,0,5,24,1,1709930,24,0,0,.6857143,.6857143,0,0,0,0,0,0,0,5,4,0,0
170993000656,Cather Elem School,40,41.88223,-87.699208,1,0,1,0,38,0,0,1709930,0,,,,,0,0,0,0,,,,0,0,0,0
170993000657,Chalmers Elem Specialty School,36,41.8661,-87.69478700000001,0,0,1,0,35,0,0,1709930,0,,,,,0,0,,0,,,,0,0,0,0
170993000658,Chappell Elem School,36,41.975369,-87.683138,25,0,4,0,5,2,0,1709930,2,0,0,.055555556,.055555556,.30555555,1,.28,0,0,0,-.28,2,2,0,0
