id,name,G08,HI08,BL08,WH08,HI08_alg_p,HI08_access_p,BL08_alg_p,BL08_access_p,WH08_alg_p,WH08_access_p
3406690,"Hanover Township School District, NJ",177,8,4,145,.25,1,0,1,.2137931,1
3406720,"Harding Township School District, NJ",21,1,2,17,0,1,0,1,.41176471,1
3406780,"Hardyston Township School District, NJ",74,5,4,60,.40000001,1,0,1,.16666667,1
3406810,"Harmony Township School District, NJ",29,0,1,28,,,1,1,1,1
3406840,"Harrington Park Borough School District, NJ",82,2,0,69,0,1,,,.31884059,1
3406870,"Harrison Town School District, NJ",203,118,41,35,.30508474,1,.41463414,1,.2857143,1
3406900,"Harrison Township School District, NJ",398,8,22,349,0,1,.090909094,1,.17478511,1
3406930,"Hasbrouck Heights Borough School District, NJ",141,30,6,82,.33333334,1,0,1,.4512195,1
3406990,"Hawthorne Borough School District, NJ",190,47,10,127,.08510638,1,.2,1,.31496063,1
3407110,"High Bridge Borough School District, NJ",30,5,0,23,.40000001,1,,,.30434781,1
3407170,"Highland Park Borough School District, NJ",103,26,6,40,.15384616,1,0,1,.47499999,1
3407200,"Highlands Borough School District, NJ",59,5,1,51,.40000001,1,0,1,.25490198,1
3407230,"Hillsborough Township School District, NJ",591,42,27,389,.38095239,1,.25925925,1,.44987145,1
3407260,"Hillsdale Borough School District, NJ",128,11,2,110,.36363637,1,0,1,.30909091,1
3407290,"Hillside Township School District, NJ",251,54,171,24,.2962963,1,.23391813,1,.41666666,1
3407320,"Ho-Ho-Kus Borough School District, NJ",67,2,0,63,0,1,,,.49206349,1
3407350,"Hoboken City School District, NJ",131,70,19,38,.21428572,1,.21052632,1,.60526317,1
3407380,"Holland Township School District, NJ",70,3,0,64,1,1,,,.34375,1
3407410,"Holmdel Township School District, NJ",249,11,1,165,.18181819,1,0,1,.4969697,1
3407440,"Hopatcong Borough School District, NJ",103,19,5,76,.21052632,1,.40000001,1,.40789473,1
3407470,"Hope Township School District, NJ",15,1,0,14,0,1,,,.5,1
3407500,"Hopewell Township School District, NJ",61,10,4,44,.2,1,0,1,.36363637,1
3407530,"Hopewell Valley Regional School District, NJ",272,6,6,229,.66666669,1,.33333334,1,.72489083,1
3407680,"Irvington Township School District, NJ",374,50,323,0,.14,1,.16408668,1,,
3407740,"Jackson Township School District, NJ",713,56,52,579,.19642857,1,.07692308,1,.25215888,1
3407800,"Jefferson Township School District, NJ",237,20,8,193,.1,1,0,1,.12953368,1
